sample,min,0,5,10,15,20,25,30,35,40,45
9,15,8.558196700877007,9.50417787199881,10.410074669657496,11.0038572066937,11.382053161293584,11.652533894638273,11.69813471213651,12.0690909025814,12.015385084355966,12.119065277324315
10,15,8.476193022401452,9.483606456981875,10.446282826672388,10.963589257781438,11.226007714000907,11.634962586419995,11.986708671664875,12.144468416950287,11.976027435750536,12.213982060618399
6,20,8.072286133564527,9.480348501363325,10.63767494363855,11.209490467438933,11.669900128147868,12.010926784953671,12.442019523354535,12.523053424837604,12.581606782000632,12.80088286067577
7,20,8.173442835212459,9.37185873688801,10.474387279208834,11.163742834799924,11.607136504828343,12.131987828006693,12.43526529384724,12.764250147927566,12.897282857310831,12.74329359700615
8,20,8.040076902402863,9.539496367708821,10.412237617662658,11.236960562789816,11.910757088187253,12.212779421586431,12.39896303363234,12.609094086153599,12.675901129014159,12.79995068019721
9,20,8.182345958935622,9.606945776088793,10.428757525377893,11.132146962760006,11.740784379421964,12.164453613376864,12.623719452513978,12.54446190817806,12.810123160609063,12.828677472434881
10,20,8.057754418301375,9.490298085503523,10.539341662382496,11.284596952856408,11.770037945392636,12.011713896695351,12.501753484537494,12.772420318690406,12.732870908558823,12.7910561972709
6,25,7.496140178523618,9.182877360760925,10.63270864423033,11.41008928603854,12.197233366945754,12.53273278108343,13.15319079206399,13.397383133006516,13.729249072565947,13.753917190768123
7,25,7.554036389438074,9.402037397312526,10.435110650032872,11.379067556769671,12.240374394323899,12.51560678072152,12.957742691141084,13.446548537259128,13.514566676730245,13.51190768586835
8,25,7.724420862487118,9.397613844216208,10.550029988389234,11.275226896264938,12.090507603601322,12.796333191840509,13.091584755760216,13.287484305390901,13.82362243541397,13.686238014033831
9,25,7.538326872968925,9.488416556187637,10.467256915609676,11.60484052422937,12.407226416076885,12.428360834805904,13.027871081686973,13.337279995607087,13.362976311435588,13.673053194071585
10,25,7.881432656429537,9.208772386146103,10.57451615115535,11.667164019584765,12.132373812896752,12.717267674813497,12.905457654456843,13.193859486093938,13.40224764436406,13.750389393670018
6,30,7.17019232714047,9.141268001147905,10.787289581701915,11.563415218928137,12.478703100527802,13.081771745878164,13.754053207784967,13.902689026291792,14.08974515808193,14.285691696190213
7,30,7.068307601383712,9.136351501823091,10.629248196729394,11.784517521851042,12.672587817467146,13.127348307995865,13.584862007634415,13.922267366369198,14.170074079780576,14.493076318988308
8,30,7.2159133837423575,9.326680650297194,10.577586199213819,11.671442652084872,12.641329414267654,13.205599717225075,13.673952978330801,13.926607710684342,14.171075998399909,14.443272943300961
9,30,7.202971709229957,9.042988387311334,10.626813839394307,11.937348545560825,12.466475103573966,13.28709716966934,13.549079092075413,13.816058143960678,14.249929001425922,14.312181229389612
10,30,7.266062801093463,9.29295845307118,10.666354729617366,11.696484980919749,12.687538128843252,13.25778783354296,13.726496433247906,14.027534989981632,14.291314280134594,14.342165728191212
